date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:52:42	131034/131034	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Feb%202020%2016:54:10%20GMT	https://www.cleanipedia.com/gb/home.html	C:/Users/DEEL/Desktop/Clean%20app/Cleanipedia/www.cleanipedia.com/gb/home.html	(from )
20:52:43	211/211	---M-Z	200	added ('OK')	text/plain	date:Sat,%2022%20Feb%202020%2015:22:44%20GMT	https://www.cleanipedia.com/robots.txt		(from )
20:52:43	22129/22129	---MCZ	200	added ('OK')	text/css	date:Fri,%2021%20Feb%202020%2011:47:08%20GMT	https://www.cleanipedia.io/gb/styles.2d839b211654d7c02c06.css	C:/Users/DEEL/Desktop/Clean%20app/Cleanipedia/www.cleanipedia.io/gb/styles.2d839b211654d7c02c06.css	(from https://www.cleanipedia.com/gb/home.html)
20:52:44	97274/97274	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Feb%202020%2015:22:46%20GMT	https://www.cleanipedia.com/gb/baby.html	C:/Users/DEEL/Desktop/Clean%20app/Cleanipedia/www.cleanipedia.com/gb/baby.html	(from https://www.cleanipedia.com/gb/home.html)
20:52:45	125047/125047	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Feb%202020%2016:54:07%20GMT	https://www.cleanipedia.com/gb/bathroom-cleaning.html	C:/Users/DEEL/Desktop/Clean%20app/Cleanipedia/www.cleanipedia.com/gb/bathroom-cleaning.html	(from https://www.cleanipedia.com/gb/home.html)
20:52:46	131722/131722	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Feb%202020%2016:54:07%20GMT	https://www.cleanipedia.com/gb/clothing-care.html	C:/Users/DEEL/Desktop/Clean%20app/Cleanipedia/www.cleanipedia.com/gb/clothing-care.html	(from https://www.cleanipedia.com/gb/home.html)
20:52:48	121570/121570	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Feb%202020%2016:54:08%20GMT	https://www.cleanipedia.com/gb/family.html	C:/Users/DEEL/Desktop/Clean%20app/Cleanipedia/www.cleanipedia.com/gb/family.html	(from https://www.cleanipedia.com/gb/home.html)
20:52:49	121970/121970	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Feb%202020%2016:54:09%20GMT	https://www.cleanipedia.com/gb/floor-and-surface-cleaning.html	C:/Users/DEEL/Desktop/Clean%20app/Cleanipedia/www.cleanipedia.com/gb/floor-and-surface-cleaning.html	(from https://www.cleanipedia.com/gb/home.html)
20:52:50	121508/121508	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Feb%202020%2016:54:11%20GMT	https://www.cleanipedia.com/gb/in-the-home.html	C:/Users/DEEL/Desktop/Clean%20app/Cleanipedia/www.cleanipedia.com/gb/in-the-home.html	(from https://www.cleanipedia.com/gb/home.html)
20:52:51	122022/122022	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Feb%202020%2016:54:14%20GMT	https://www.cleanipedia.com/gb/kitchen-cleaning.html	C:/Users/DEEL/Desktop/Clean%20app/Cleanipedia/www.cleanipedia.com/gb/kitchen-cleaning.html	(from https://www.cleanipedia.com/gb/home.html)
20:52:52	120425/120425	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Feb%202020%2016:54:15%20GMT	https://www.cleanipedia.com/gb/laundry.html	C:/Users/DEEL/Desktop/Clean%20app/Cleanipedia/www.cleanipedia.com/gb/laundry.html	(from https://www.cleanipedia.com/gb/home.html)
20:52:53	121138/121138	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Feb%202020%2016:54:17%20GMT	https://www.cleanipedia.com/gb/out-of-home.html	C:/Users/DEEL/Desktop/Clean%20app/Cleanipedia/www.cleanipedia.com/gb/out-of-home.html	(from https://www.cleanipedia.com/gb/home.html)
20:52:54	77264/77264	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Feb%202020%2016:54:18%20GMT	https://www.cleanipedia.com/gb/students.html	C:/Users/DEEL/Desktop/Clean%20app/Cleanipedia/www.cleanipedia.com/gb/students.html	(from https://www.cleanipedia.com/gb/home.html)
